country_code,country,area_code,state,GMT_offset,DST,DST_range,geographic_description,tz_code,php_tz
1,'USA','681','WV','-5','Y','SSM-FSN','West Virginia','EST','America/New_York'
1,'USA','682','TX','-6','Y','SSM-FSN','Texas','CST','America/Chicago'
1,'CAN','683','ON','-5','Y','SSM-FSN','Ontario','EST','America/Toronto'
1,'ASM','684','','-11','N','','American Samoa','SST','Pacific/Pago_Pago'
1,'USA','686','VA','-5','Y','SSM-FSN','Virginia','EST','America/New_York'
1,'USA','689','FL','-5','Y','SSM-FSN','Florida','EST','America/New_York'
1,'USA','701','ND','-6','Y','SSM-FSN','North Dakota','CST','America/Chicago'
1,'USA','702','NV','-8','Y','SSM-FSN','Nevada','PST','America/Los_Angeles'
1,'USA','703','VA','-5','Y','SSM-FSN','Virginia','EST','America/New_York'
1,'USA','704','NC','-5','Y','SSM-FSN','North Carolina','EST','America/New_York'
1,'CAN','705','ON','-5','Y','SSM-FSN','Ontario','EST','America/Toronto'
1,'USA','706','GA','-5','Y','SSM-FSN','Georgia','EST','America/New_York'
1,'USA','707','CA','-8','Y','SSM-FSN','California','PST','America/Los_Angeles'
1,'USA','708','IL','-6','Y','SSM-FSN','Illinois','CST','America/Chicago'
1,'CAN','709','NF','-3.5','Y','SSM-FSN','Newfoundland','NST','America/St_Johns'
1,'USA','712','IA','-6','Y','SSM-FSN','Iowa','CST','America/Chicago'
1,'USA','713','TX','-6','Y','SSM-FSN','Texas','CST','America/Chicago'
1,'USA','714','CA','-8','Y','SSM-FSN','California','PST','America/Los_Angeles'
1,'USA','715','WI','-6','Y','SSM-FSN','Wisconsin','CST','America/Chicago'
1,'USA','716','NY','-5','Y','SSM-FSN','New York','EST','America/New_York'
1,'USA','717','PA','-5','Y','SSM-FSN','Pennsylvania','EST','America/New_York'
1,'USA','718','NY','-5','Y','SSM-FSN','New York','EST','America/New_York'
1,'USA','719','CO','-7','Y','SSM-FSN','Colorado','MST','America/Denver'
1,'USA','720','CO','-7','Y','SSM-FSN','Colorado','MST','America/Denver'
1,'NLD','721','','-4','N','','St. Maarten','AST','America/St_Barthelemy'
1,'USA','724','PA','-5','Y','SSM-FSN','Pennsylvania','EST','America/New_York'
1,'USA','725','NV','-8','Y','SSM-FSN','Nevada','PST','America/Los_Angeles'
1,'USA','726','TX','-6','Y','SSM-FSN','Texas','CST','America/Chicago'
1,'USA','727','FL','-5','Y','SSM-FSN','Florida','EST','America/New_York'
1,'USA','728','FL','-5','Y','SSM-FSN','Florida','EST','America/New_York'
1,'USA','729','TN','-5','Y','SSM-FSN','Tennessee','EST','America/New_York'
1,'USA','730','IL','-6','Y','SSM-FSN','Illinois','CST','America/Chicago'
1,'USA','731','TN','-6','Y','SSM-FSN','Tennessee','CST','America/Chicago'
1,'USA','732','NJ','-5','Y','SSM-FSN','New Jersey','EST','America/New_York'
1,'USA','734','MI','-5','Y','SSM-FSN','Michigan','EST','America/New_York'
1,'USA','737','TX','-6','Y','SSM-FSN','Texas','CST','America/Chicago'
1,'USA','738','CA','-8','Y','SSM-FSN','California','PST','America/Los_Angeles'
1,'USA','740','OH','-5','Y','SSM-FSN','Ohio','EST','America/New_York'
1,'CAN','742','ON','-5','Y','SSM-FSN','Ontario','EST','America/Toronto'
1,'USA','743','NC','-5','Y','SSM-FSN','North Carolina','EST','America/New_York'
1,'USA','747','CA','-8','Y','SSM-FSN','California','PST','America/Los_Angeles'
1,'USA','748','CO','-7','Y','SSM-FSN','Colorado','MST','America/Denver'
1,'USA','752','CA','-8','Y','SSM-FSN','California','PST','America/Los_Angeles'
1,'CAN','753','ON','-5','Y','SSM-FSN','Ontario','EST','America/Toronto'
1,'USA','754','FL','-5','Y','SSM-FSN','Florida','EST','America/New_York'
1,'USA','757','VA','-5','Y','SSM-FSN','Virginia','EST','America/New_York'
1,'LCA','758','','-4','N','','St. Lucia','AST','America/St_Lucia'
1,'USA','760','CA','-8','Y','SSM-FSN','California','PST','America/Los_Angeles'
1,'USA','762','GA','-5','Y','SSM-FSN','Georgia','EST','America/New_York'
1,'USA','763','MN','-6','Y','SSM-FSN','Minnesota','CST','America/Chicago'
1,'USA','764','CA','-8','Y','SSM-FSN','California','PST','America/Los_Angeles'
1,'USA','765','IN','-5','Y','SSM-FSN','Indiana','EST','America/New_York'
1,'DMA','767','','-4','N','','Dominica','AST','America/Dominica'
1,'USA','769','MS','-6','Y','SSM-FSN','Mississippi','CST','America/Chicago'
1,'USA','770','GA','-5','Y','SSM-FSN','Georgia','EST','America/New_York'
1,'USA','771','DC','-5','Y','SSM-FSN','District of Columbia','EST','America/New_York'
1,'USA','772','FL','-5','Y','SSM-FSN','Florida','EST','America/New_York'
1,'USA','773','IL','-6','Y','SSM-FSN','Illinois','CST','America/Chicago'
1,'USA','774','MA','-5','Y','SSM-FSN','Massachusetts','EST','America/New_York'
1,'USA','775','NV','-8','Y','SSM-FSN','Nevada','PST','America/Los_Angeles'
